Unnamed: 0,_time,etat_failed
397,2023-01-23 00:00:00+00:00,34
398,2023-01-24 00:00:00+00:00,34
399,2023-01-25 00:00:00+00:00,45
400,2023-01-26 00:00:00+00:00,28
401,2023-01-27 00:00:00+00:00,36
402,2023-01-28 00:00:00+00:00,24
403,2023-01-29 00:00:00+00:00,39
404,2023-01-30 00:00:00+00:00,35
405,2023-01-31 00:00:00+00:00,34
406,2023-02-01 00:00:00+00:00,36
407,2023-02-02 00:00:00+00:00,35
408,2023-02-03 00:00:00+00:00,31
409,2023-02-04 00:00:00+00:00,28
410,2023-02-05 00:00:00+00:00,26
411,2023-02-06 00:00:00+00:00,35
412,2023-02-07 00:00:00+00:00,170
413,2023-02-08 00:00:00+00:00,159
414,2023-02-09 00:00:00+00:00,51
415,2023-02-10 00:00:00+00:00,94
416,2023-02-11 00:00:00+00:00,105
417,2023-02-12 00:00:00+00:00,99
418,2023-02-13 00:00:00+00:00,122
419,2023-02-14 00:00:00+00:00,98
420,2023-02-15 00:00:00+00:00,109
421,2023-02-16 00:00:00+00:00,133
422,2023-02-17 00:00:00+00:00,94
423,2023-02-18 00:00:00+00:00,88
424,2023-02-19 00:00:00+00:00,93
425,2023-02-20 00:00:00+00:00,99
426,2023-02-21 00:00:00+00:00,109
427,2023-02-22 00:00:00+00:00,105
428,2023-02-23 00:00:00+00:00,96
429,2023-02-24 00:00:00+00:00,107
430,2023-02-25 00:00:00+00:00,115
431,2023-02-26 00:00:00+00:00,110
432,2023-02-27 00:00:00+00:00,111
433,2023-02-28 00:00:00+00:00,99
434,2023-03-01 00:00:00+00:00,107
435,2023-03-02 00:00:00+00:00,102
436,2023-03-03 00:00:00+00:00,91
437,2023-03-04 00:00:00+00:00,75
438,2023-03-05 00:00:00+00:00,102
439,2023-03-06 00:00:00+00:00,79
440,2023-03-07 00:00:00+00:00,44
441,2023-03-08 00:00:00+00:00,37
442,2023-03-09 00:00:00+00:00,62
443,2023-03-10 00:00:00+00:00,48
444,2023-03-11 00:00:00+00:00,45
445,2023-03-12 00:00:00+00:00,46
446,2023-03-13 00:00:00+00:00,46
447,2023-03-14 00:00:00+00:00,43
448,2023-03-15 00:00:00+00:00,66
449,2023-03-16 00:00:00+00:00,64
450,2023-03-17 00:00:00+00:00,53
451,2023-03-18 00:00:00+00:00,36
452,2023-03-19 00:00:00+00:00,40
453,2023-03-20 00:00:00+00:00,50
454,2023-03-21 00:00:00+00:00,37
455,2023-03-22 00:00:00+00:00,44
456,2023-03-23 00:00:00+00:00,43
457,2023-03-24 00:00:00+00:00,55
458,2023-03-25 00:00:00+00:00,41
459,2023-03-26 00:00:00+00:00,65
